id,x,y
S12000027,14,0
S12000023,13,1
S12000013,9,3
S12000017,10,3
S12000020,11,3
S12000034,12,3
S12000033,13,3
S12000041,13,4
S12000024,11,4
S12000042,12,4
S12000030,11,5
S12000015,13,5
S12000035,10,5
S12000005,12,5
S12000039,9,6
S12000045,10,6
S12000014,11,6
S12000010,12,6
S12000018,8,7
S12000038,9,7
S12000046,10,7
S12000044,11,7
S12000040,12,7
S12000036,13,7
S12000019,13,8
S12000021,10,8
S12000011,11,8
S12000029,12,8
S12000026,13,9
S12000008,11,9
S12000028,10,9
E06000057,14,9
N09000004,1,13
S12000006,12,9
E07000028,9,13
E08000037,12,10
E08000021,13,10
E08000022,14,10
E08000023,14,11
N09000005,0,13
N09000008,2,13
E08000024,15,11
N09000009,0,14
N09000001,1,14
E07000026,9,14
E06000047,11,10
E06000001,14,12
N09000007,2,15
N09000003,2,14
N09000011,3,14
E07000030,9,15
E06000005,12,11
E06000004,13,11
E06000002,11,11
E06000003,15,12
N09000006,0,15
N09000002,1,15
E07000029,8,16
E07000166,10,12
E07000168,13,12
N09000010,3,15
E07000031,9,17
E07000164,11,12
E07000167,12,12
E07000027,8,17
E07000121,8,18
E07000163,10,13
E07000165,11,13
E07000124,12,18
E06000014,12,13
E06000011,13,14
E06000009,8,19
E07000119,10,18
E07000128,9,18
E07000123,9,16
E07000120,11,19
E07000117,11,16
E07000122,10,15
E08000032,13,13
E08000035,14,13
E07000169,15,14
E06000010,14,14
E07000126,9,19
E07000118,9,20
E06000008,10,19
E07000125,10,16
E08000005,11,15
E08000033,10,14
E08000034,11,14
E08000036,12,14
E06000013,17,15
E08000014,7,20
E07000127,8,20
E08000010,9,21
E08000001,10,20
E08000006,10,17
E08000002,13,18
E08000008,12,16
E08000004,12,15
E08000016,15,15
E08000017,16,15
E06000012,18,15
E08000015,7,22
E08000012,7,21
E08000011,8,22
E08000013,8,21
E06000006,8,23
E06000007,9,22
E08000009,11,18
E08000003,11,17
E08000007,12,17
E07000037,13,17
E08000019,13,15
E08000018,14,15
E07000171,18,16
E07000142,19,16
W06000001,5,24
W06000005,7,24
E06000050,7,23
E07000038,14,18
E07000034,13,16
E07000033,16,16
E07000174,17,16
E07000138,19,17
E07000137,20,17
W06000003,6,25
W06000004,6,24
E06000049,12,19
E07000198,13,19
E07000035,14,17
E07000032,15,18
E07000170,14,16
E07000173,15,16
E07000175,18,17
E07000139,19,18
W06000006,8,24
E07000195,11,20
E06000021,12,20
E06000015,14,19
E07000036,15,19
E07000172,15,17
E06000018,16,17
E07000176,17,17
E07000136,20,18
E07000147,22,18
W06000002,6,26
E07000197,11,21
E07000193,13,20
E07000039,16,18
E07000134,16,19
E07000130,17,18
