id,x,y,dx,dy
S12000027,552.5,0,-15.2,-15
S12000023,520,30,-15,-15
S12000013,390,90,-15,-15
S12000017,422.5,90,-15.5,-15
S12000020,455,90,-15,-15
S12000034,487.5,90,-15,-15
S12000033,520,90,-15,-15
S12000041,520,120,-15,-15
S12000024,455,120,-15,-15
S12000042,487.5,120,-15,-15
S12000030,455,150,-15,-15
S12000015,520,150,-15,-15
S12000035,422.5,150,-15.5,-15
S12000005,487.5,150,-15,-15
S12000039,390,180,-15,-15
S12000045,422.5,180,-15.5,-15
S12000014,455,180,-15,-15
S12000010,487.5,180,-15,-15
S12000018,357.50000000000006,210.00000000000003,-15,-15
S12000038,390,210.00000000000003,-15,-15
S12000046,422.5,210.00000000000003,-15.5,-15
S12000044,455,210.00000000000003,-15,-15
S12000040,487.5,210.00000000000003,-15,-15
S12000036,520,210.00000000000003,-15,-15
S12000019,520,240,-15,-15
S12000021,422.5,240,-15.5,-15
S12000011,455,240,-15,-15
S12000029,487.5,240,-15,-15
S12000026,520,270,-15,-15
S12000008,455,270,-15,-15
S12000028,422.5,270,-15.5,-15
E06000057,682.5,480,-145,-224.7
N09000004,32.5,570,-15,-45
S12000006,487.5,270,-15,-15
E07000028,585,540,-210,-158.4
E08000037,682.5,570,-210,-282.7
E08000021,682.5,540,-177.5,-252.7
E08000022,715.0000000000001,510.00000000000006,-177.5,-222.7
E08000023,747.4999999999999,570,-210,-250.7
N09000005,0,570,-15,-45
N09000008,65,570,-15,-45
E08000024,747.4999999999999,600,-178,-280.7
N09000009,0,600,-15,-45
N09000001,32.5,600,-15,-45
E07000026,487.5,600,-112.5,-188.6
E06000047,715.0000000000001,600,-275,-312.7
E06000001,780,600,-242.5,-248.7
N09000007,65,630,-15,-45
N09000003,65,600,-15,-45
N09000011,97.5,600,-15,-45
E07000030,585,630,-210,-189.2
E06000005,715.0000000000001,630,-242.5,-310.7
E06000004,747.4999999999999,630,-242.5,-310.7
E06000002,780,660,-340,-340.7
E06000003,812.5,630,-243,-278.7
N09000006,0,630,-15,-45
N09000002,32.5,630,-15,-45
E07000029,455,660,-112.5,-187.8
E07000166,682.5,660,-275.5,-308.7
E07000168,877.5,660,-372.5,-308.7
N09000010,97.5,630,-15,-45
E07000031,585,690,-210,-188
E07000164,780,690,-340,-338.7
E07000167,845,690,-372.5,-338.7
E07000027,487.5,720,-145,-220
E07000121,585,720,-242.5,-188.1
E07000163,650,720,-243,-338.4
E07000165,747.4999999999999,720,-307.5,-338.4
E07000124,617.5,750,-145,-218.1
E06000014,812.5,750,-340,-368.4
E06000011,910,750,-405,-338.6
E06000009,487.5,780,-145,-217.5
E07000119,520,780,-113,-248.1
E07000128,552.5,750,-177.5,-218.1
E07000123,585,780,-210,-307.8
E07000120,617.5,780,-177.5,-217.5
E07000117,650,780,-210,-307.8
E07000122,650,750,-243,-309.2
E08000032,715.0000000000001,780,-210,-398.4
E08000035,747.4999999999999,780,-210,-398.4
E07000169,812.5,780,-243,-368.6
E06000010,910,780,-372.5,-368.6
E07000126,552.5,810,-177.5,-247.5
E07000118,585,840.0000000000001,-210,-247.3
E06000008,585,810,-178,-247.5
E07000125,650,810,-243,-337.8
E08000005,682.5,840.0000000000001,-242.5,-399.2
E08000033,682.5,810,-275.5,-398.6
E08000034,715.0000000000001,810,-275,-398.6
E08000036,780,810,-307.5,-398.6
E06000013,877.5,810,-242.5,-369.2
E08000014,487.5,869.9999999999999,-177.5,-277.3
E07000127,552.5,840.0000000000001,-210,-247.3
E08000010,585,869.9999999999999,-210,-246.7
E08000001,617.5,840.0000000000001,-210.5,-247.3
E08000006,617.5,869.9999999999999,-210.5,-368
E08000002,650,840.0000000000001,-145,-308.1
E08000008,682.5,869.9999999999999,-210,-397.8
E08000004,715.0000000000001,840.0000000000001,-242.5,-399.2
E08000016,747.4999999999999,840.0000000000001,-178,-399.2
E08000017,812.5,840.0000000000001,-210,-399.2
E06000012,845,810,-177.5,-369.2
E08000015,520,900,-210,-246.6
E08000012,520,869.9999999999999,-210,-246.7
E08000011,552.5,900,-210,-246.6
E08000013,552.5,869.9999999999999,-210,-246.7
E06000006,585,930,-242.5,-246.6
E06000007,585,900,-210,-246.6
E08000009,617.5,930,-177.5,-398.1
E08000003,650,900,-210,-400
E08000007,682.5,900,-210,-399
E07000037,715.0000000000001,869.9999999999999,-210,-367
E08000019,747.4999999999999,869.9999999999999,-242.5,-429.2
E08000018,780,869.9999999999999,-242.5,-429.2
E07000171,845,869.9999999999999,-177.5,-397.8
E07000142,910,869.9999999999999,-210,-397.8
W06000001,455,1170,-211,-456.5
W06000005,552.5,1170,-242.5,-456.5
E06000050,552.5,930,-242.5,-246.6
E07000038,715.0000000000001,930,-177.5,-398.1
E07000034,747.4999999999999,900,-242.5,-427.8
E07000033,780,900,-177.5,-427.8
E07000174,812.5,900,-177.5,-427.8
E07000138,910,900,-210,-398
E07000137,975,900,-242,-398
W06000003,487.5,1170,-210,-426.4
W06000004,520,1170,-242.5,-456.5
E06000049,650,930,-177.5,-367.5
E07000198,682.5,930,-177.5,-367.5
E07000035,747.4999999999999,930,-210,-426
E07000032,747.4999999999999,960,-178,-428.1
E07000170,780,930,-242.5,-457.8
E07000173,812.5,960,-243,-487.8
E07000175,845,930,-177.5,-428
E07000139,910,930,-210,-398.1
W06000006,520,960,-177.5,-246.5
E07000195,650,960,-210,-367.3
E06000021,682.5,960,-210,-367.3
E06000015,715.0000000000001,960,-177.5,-397.5
E07000036,747.4999999999999,990,-178,-427.5
E07000172,780,960,-210.5,-456
E06000018,812.5,990,-210,-486
E07000176,845,960,-210,-458
E07000136,975,960,-242,-428.1
E07000147,1137.5,960,-339,-428.1
W06000002,487.5,1200,-210,-426
E07000197,682.5,990,-242.5,-366.7
E07000193,715.0000000000001,990,-210,-397.3
E07000039,780,990,-177.5,-458.1
E07000134,780,1020.0000000000001,-177.5,-457.5
E07000130,845,990,-210,-458.1
E07000133,845,1020.0000000000001,-177.5,-488.1
E07000141,877.5,990,-177.5,-427.5
E07000140,910,990,-242.5,-427.5
E07000146,942.5,990,-177,-458.1
E07000144,975,990,-177,-427.5
E06000051,585,1020.0000000000001,-210,-336.6
E06000020,617.5,1020.0000000000001,-210.5,-336.6
E07000196,650,1020.0000000000001,-243,-396.7
E07000192,682.5,1020.0000000000001,-242.5,-366.6
E07000194,715.0000000000001,1020.0000000000001,-242.5,-396.7
E07000199,747.4999999999999,1020.0000000000001,-210,-427.3
E07000132,812.5,1050,-243,-457.3
E06000016,812.5,1020.0000000000001,-177.5,-457.5
E06000017,877.5,1020.0000000000001,-145,-427.3
E06000031,910,1020.0000000000001,-177,-457.5
E07000010,942.5,1020.0000000000001,-177,-457.5
E07000143,975,1020.0000000000001,-145,-427.3
E07000148,1007.5000000000001,1020.0000000000001,-145,-427.3
E07000145,1040,1020.0000000000001,-145,-427.3
E08000031,682.5,1050,-275.5,-396.6
E08000027,682.5,1080,-242.5,-396.6
E08000028,715.0000000000001,1080,-242.5,-366.5
E08000030,715.0000000000001,1050,-242.5,-366.6
E08000025,747.4999999999999,1050,-275,-396.6
E07000218,780,1050,-275,-426.7
